old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2970001,15,280,1080,0.25925925925925924
2970001,28,800,1080,0.7407407407407407
2970002,15,168,1641,0.10237659963436929
2970002,28,1473,1641,0.8976234003656307
2970003,28,2654,2654,1.0
2970004,28,1719,1719,1.0
2970005,15,107,919,0.11643090315560392
2970005,28,812,919,0.8835690968443961
2970006,15,64,418,0.15311004784688995
2970006,28,354,418,0.84688995215311
2970007,15,10,146,0.0684931506849315
2970007,28,121,146,0.8287671232876712
2970007,35,15,146,0.10273972602739725
2970008,28,176,176,1.0
2970009,28,1979,1979,1.0
2970010,28,851,851,1.0
2970011,28,1530,1530,1.0
2970012,15,40,268,0.14925373134328357
2970012,28,228,268,0.8507462686567164
2970013,15,63,1768,0.035633484162895926
2970013,28,1705,1768,0.9643665158371041
2970014,15,43,2181,0.019715726730857405
2970014,28,2138,2181,0.9802842732691426
