old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2250001,10,3165,3165,1.0
2250002,10,3423,3423,1.0
2250003,10,4172,4172,1.0
2250004,10,4267,4267,1.0
2250005,5,86,2602,0.033051498847040735
2250005,10,2516,2602,0.9669485011529593
2250006,5,118,2531,0.046621888581588306
2250006,10,2413,2531,0.9533781114184117
2250007,10,1694,1694,1.0
2250008,1,10,1023,0.009775171065493646
2250008,5,71,1023,0.06940371456500488
2250008,10,942,1023,0.9208211143695014
2250009,10,1070,1070,1.0
2250010,10,657,657,1.0
2250011,10,377,377,1.0
2250012,10,542,542,1.0
2250014,10,683,683,1.0
2250015,5,1,444,0.0022522522522522522
2250015,10,443,444,0.9977477477477478
2250016,10,788,788,1.0
2250017,10,3047,3047,1.0
2250018,10,293,293,1.0
2250019,10,1188,1188,1.0
2250020,1,18,508,0.03543307086614173
2250020,5,0,508,0.0
2250020,10,490,508,0.9645669291338582
2250021,1,21,701,0.029957203994293864
2250021,10,669,701,0.9543509272467903
2250021,36,11,701,0.015691868758915834
2250022,10,940,940,1.0
