old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2850001,15,2844,2844,1.0
2850002,15,3006,3006,1.0
2850007,15,599,743,0.8061911170928667
2850007,27,144,743,0.19380888290713325
2850008,15,1440,1709,0.8425980105324752
2850008,27,269,1709,0.15740198946752487
2850009,15,2358,2358,1.0
2850011,15,905,905,1.0
2850012,15,870,870,1.0
2850015,15,543,543,1.0
2850016,15,1097,1142,0.9605954465849387
2850016,27,45,1142,0.03940455341506129
2850017,15,680,680,1.0
2850019,15,1046,1097,0.9535095715587967
2850019,27,51,1097,0.04649042844120328
2850020,15,414,428,0.9672897196261683
2850020,27,14,428,0.03271028037383177
2850023,15,2217,2303,0.9626574033868867
2850023,27,86,2303,0.03734259661311333
2850026,15,1539,1539,1.0
2850027,15,699,805,0.8683229813664596
2850027,27,106,805,0.13167701863354037
2850029,15,2217,2217,1.0
2850030,15,3734,3734,1.0
2850031,15,2586,2586,1.0
2850032,15,1140,1140,1.0
