old_precinct_id,new_district_id,fragment_population,precinct_total,weight
490101,11,5509,5509,1.0
490105,11,4281,4300,0.9955813953488372
490105,31,19,4300,0.004418604651162791
490109,11,589,589,1.0
490113,11,5629,5656,0.9952263083451203
490113,31,27,5656,0.004773691654879774
490202,11,4655,4655,1.0
490204,11,4745,4745,1.0
490212,11,1260,1433,0.8792742498255408
490212,25,173,1433,0.12072575017445918
490214,11,1314,1314,1.0
490215,11,1065,1065,1.0
490303,11,4181,4181,1.0
490306,11,3747,3747,1.0
490307,11,1372,1492,0.9195710455764075
490307,25,120,1492,0.08042895442359249
490308,11,892,1031,0.8651794374393792
490308,25,50,1031,0.04849660523763336
490308,31,89,1031,0.0863239573229874
490316,11,812,812,1.0
490318,11,4002,4002,1.0
490410,11,4835,4835,1.0
490411,11,3711,3711,1.0
490417,11,3961,3975,0.9964779874213836
490417,25,14,3975,0.003522012578616352
