old_precinct_id,new_district_id,fragment_population,precinct_total,weight
5030005,25,6767,6767,1.0
5030006,19,18,326,0.05521472392638037
5030006,25,308,326,0.9447852760736196
5030007,19,21,357,0.058823529411764705
5030007,25,336,357,0.9411764705882353
5030010,19,4,842,0.004750593824228029
5030010,25,838,842,0.995249406175772
5030016,13,2,494,0.004048582995951417
5030016,25,492,494,0.9959514170040485
5030020,13,8,786,0.010178117048346057
5030020,25,778,786,0.989821882951654
5030022,25,7755,7755,1.0
5030023,13,39,3691,0.010566242210782985
5030023,19,10,3691,0.00270929287455974
5030023,25,3642,3691,0.9867244649146573
5030024,25,5422,5422,1.0
