old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4510106,11,4603,4603,1.0
4510107,11,5142,5142,1.0
4510108,11,2494,2494,1.0
4510112,11,3526,3526,1.0
4510114,11,3065,3065,1.0
4510124,11,5115,5115,1.0
4510137,11,7289,7289,1.0
4510144,11,6151,6151,1.0
4510146,11,9576,9576,1.0
4510201,11,7824,7824,1.0
4510213,11,6676,6684,0.9988031119090365
4510213,23,8,6684,0.0011968880909634949
4510215,11,8459,8459,1.0
4510225,11,493,493,1.0
4510228,11,7842,7842,1.0
4510230,11,5753,5753,1.0
4510241,11,9297,9297,1.0
4510304,11,8660,8660,1.0
4510306,11,4220,4220,1.0
4510308,11,1215,1215,1.0
4510318,11,4896,4896,1.0
4510319,11,8247,8247,1.0
4510327,11,6010,6010,1.0
4510348,11,3492,3492,1.0
4510351,11,994,994,1.0
4510358,11,4857,4857,1.0
4510358,23,0,4857,0.0
4510401,11,1236,1236,1.0
4510402,11,8366,8366,1.0
4510420,11,1410,1410,1.0
4510421,11,7794,7794,1.0
4510422,11,1805,1820,0.9917582417582418
4510422,23,15,1820,0.008241758241758242
4510423,11,4165,4165,1.0
4510424,11,5975,5975,1.0
4510434,11,3510,3510,1.0
4510435,11,3854,3854,1.0
4510436,11,7456,7456,1.0
