old_precinct_id,new_district_id,fragment_population,precinct_total,weight
910101,21,8242,8242,1.0
910102,21,5854,5854,1.0
910103,21,8978,8978,1.0
910104,21,5922,5922,1.0
910105,21,6404,6404,1.0
910106,21,8841,8841,1.0
910107,21,6148,6148,1.0
910108,21,5880,5880,1.0
910201,21,11416,13881,0.8224191340681507
910201,35,2465,13881,0.1775808659318493
910202,21,4012,5794,0.6924404556437694
910202,35,1782,5794,0.30755954435623056
910203,21,9988,9988,1.0
910204,21,8725,9248,0.94344723183391
910204,23,523,9248,0.056552768166089964
910205,21,7258,7730,0.9389391979301424
910205,35,472,7730,0.0610608020698577
910206,21,10952,10967,0.9986322604176164
910206,23,15,10967,0.0013677395823835142
910207,21,7376,7376,1.0
910208,21,3219,4528,0.7109098939929329
910208,23,1309,4528,0.28909010600706714
910301,21,16501,17780,0.9280652418447694
910301,35,1279,17780,0.0719347581552306
910302,21,10478,13040,0.8035276073619632
910302,35,2562,13040,0.1964723926380368
910303,21,2238,2238,1.0
910304,21,10942,12732,0.8594093622368835
910304,35,1790,12732,0.14059063776311656
910305,21,10740,10740,1.0
910306,21,8582,8717,0.9845130205345876
910306,35,135,8717,0.015486979465412413
910401,21,4868,4868,1.0
910402,21,9095,9095,1.0
910403,21,8981,8981,1.0
910404,21,13276,13276,1.0
910405,21,9196,9196,1.0
910406,21,8859,8859,1.0
910407,21,5188,5188,1.0
