old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2650101,21,7272,7272,1.0
2650107,21,2965,2965,1.0
2650109,21,2905,2905,1.0
2650113,21,5007,5007,1.0
2650118,21,2171,2171,1.0
2650119,21,4561,4561,1.0
2650202,21,4714,4714,1.0
2650211,21,7444,7444,1.0
2650215,21,9127,9127,1.0
2650220,21,4807,4807,1.0
2650303,21,2125,2125,1.0
2650308,21,1658,1658,1.0
2650312,21,9275,9275,1.0
2650314,21,7098,7098,1.0
2650404,11,296,1918,0.1543274244004171
2650404,21,1622,1918,0.8456725755995829
2650405,11,109,2933,0.03716331401295602
2650405,21,2824,2933,0.962836685987044
2650406,21,6971,6971,1.0
2650410,11,156,1117,0.1396598030438675
2650410,21,958,1117,0.8576544315129812
2650410,23,3,1117,0.0026857654431512983
2650416,21,5012,5012,1.0
2650417,21,4176,4176,1.0
