old_precinct_id,new_district_id,fragment_population,precinct_total,weight
2990101,11,600,610,0.9836065573770492
2990101,21,10,610,0.01639344262295082
2990102,11,1281,1284,0.9976635514018691
2990102,21,3,1284,0.002336448598130841
2990102,31,0,1284,0.0
2990108,11,1025,1025,1.0
2990108,31,0,1025,0.0
2990109,11,3675,3704,0.9921706263498921
2990109,21,18,3704,0.004859611231101512
2990109,31,11,3704,0.0029697624190064796
2990203,11,4112,4112,1.0
2990203,31,0,4112,0.0
2990204,11,1559,1559,1.0
2990204,31,0,1559,0.0
2990205,11,1130,1130,1.0
2990205,31,0,1130,0.0
2990307,11,6300,6300,1.0
2990307,31,0,6300,0.0
2990410,11,5446,5489,0.9921661504827838
2990410,21,43,5489,0.007833849517216251
