old_precinct_id,new_district_id,fragment_population,precinct_total,weight
3510001,36,1931,1931,1.0
3510002,36,969,969,1.0
3510003,1,5,919,0.00544069640914037
3510003,36,914,919,0.9945593035908596
3510004,1,0,289,0.0
3510004,36,289,289,1.0
3510005,1,0,637,0.0
3510005,36,637,637,1.0
3510006,36,2088,2088,1.0
3510007,36,581,581,1.0
3510008,36,1366,1366,1.0
3510009,36,921,921,1.0
3510010,36,602,602,1.0
3510011,14,231,1819,0.12699285321605278
3510011,36,1588,1819,0.8730071467839472
3510012,36,825,825,1.0
3510013,14,440,2166,0.20313942751615882
3510013,36,1726,2166,0.7968605724838412
3510014,1,5,652,0.007668711656441718
3510014,36,647,652,0.9923312883435583
3510015,36,802,802,1.0
3510016,36,621,621,1.0
3510017,36,260,260,1.0
3510018,36,603,603,1.0
3510019,36,734,734,1.0
3510020,36,280,280,1.0
3510021,14,247,802,0.30798004987531175
3510021,36,555,802,0.6920199501246883
3510022,36,1215,1215,1.0
3510023,36,540,540,1.0
