old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4690001,27,2182,2182,1.0
4690002,27,2279,2279,1.0
4690003,27,2797,2797,1.0
4690004,27,6091,6091,1.0
4690005,27,6531,6531,1.0
4690006,27,2184,2184,1.0
4690007,27,6205,6205,1.0
4690008,27,7355,7355,1.0
4690009,27,6056,6056,1.0
4690010,27,6957,6957,1.0
4690011,15,80,2526,0.03167062549485352
4690011,27,2446,2526,0.9683293745051464
4690012,27,1397,1397,1.0
4690013,27,2688,2688,1.0
4690014,27,3080,3080,1.0
4690015,15,41,317,0.12933753943217666
4690015,27,276,317,0.8706624605678234
4690016,15,152,1269,0.11977935382190702
4690016,27,1117,1269,0.880220646178093
4690017,27,4215,4215,1.0
4690018,15,555,8089,0.0686116948943009
4690018,27,7534,8089,0.9313883051056991
4690019,27,7421,7421,1.0
4690020,15,58,4578,0.012669287898645697
4690020,27,4520,4578,0.9873307121013543
4690021,27,7554,7554,1.0
4690022,15,922,3971,0.23218332913623774
4690022,27,3049,3971,0.7678166708637623
4690023,15,142,3206,0.044291952588895823
4690023,27,3064,3206,0.9557080474111042
4690024,27,5981,5981,1.0
4690025,27,13330,13330,1.0
4690026,27,3081,3081,1.0
4690027,27,3125,3125,1.0
4690028,27,1245,1245,1.0
4690029,27,5163,5163,1.0
4690030,27,3234,3234,1.0
4690031,27,2720,2720,1.0
4690032,27,5908,5908,1.0
4690033,27,11841,11841,1.0
4690034,27,2562,2562,1.0
4690035,27,2044,2044,1.0
