old_precinct_id,new_district_id,fragment_population,precinct_total,weight
410001,10,5428,5434,0.9988958410011042
410001,27,6,5434,0.001104158998895841
410002,10,16099,16099,1.0
410003,10,3106,3207,0.9685063922669161
410003,17,101,3207,0.03149360773308388
410004,10,5350,5350,1.0
410005,10,3610,4588,0.7868352223190933
410005,17,978,4588,0.21316477768090672
410006,10,2164,2546,0.8499607227022781
410006,17,382,2546,0.15003927729772193
410007,10,7295,7295,1.0
410008,10,11468,11468,1.0
410009,10,6448,6448,1.0
410010,10,9736,9736,1.0
410011,10,10062,10062,1.0
410012,10,10693,10693,1.0
410013,10,6643,6643,1.0
410014,10,14083,14083,1.0
410015,10,7350,7350,1.0
410016,10,5326,5326,1.0
410017,10,8864,8864,1.0
410018,10,2347,2347,1.0
410019,10,2775,2775,1.0
410020,10,18118,18118,1.0
410021,10,11005,11005,1.0
410022,10,4122,4122,1.0
410023,10,486,486,1.0
410024,10,9206,9206,1.0
410025,10,3828,3828,1.0
410026,10,7180,7180,1.0
410027,10,7995,7995,1.0
410028,10,947,947,1.0
410029,10,1379,1379,1.0
410030,10,6999,6999,1.0
410031,10,19385,19385,1.0
410032,10,81,81,1.0
410033,10,11774,11774,1.0
410034,10,23885,23885,1.0
410035,10,27480,27480,1.0
410036,10,8946,8946,1.0
410037,10,316,316,1.0
410038,10,1618,1618,1.0
410039,10,9902,9902,1.0
410040,10,10756,10756,1.0
410041,10,8570,8570,1.0
410042,10,654,654,1.0
410043,10,2703,2703,1.0
410044,10,935,935,1.0
410045,10,2151,2151,1.0
410046,10,1175,1175,1.0
410047,10,2188,2188,1.0
410048,10,1156,1156,1.0
410049,10,5958,5958,1.0
410050,10,326,326,1.0
410051,10,140,140,1.0
410052,10,871,871,1.0
410053,10,1958,1958,1.0
410056,10,816,816,1.0
410057,10,3916,3916,1.0
410058,10,4794,4794,1.0
410059,10,1097,1097,1.0
410060,10,599,599,1.0
410061,10,648,648,1.0
410062,10,441,441,1.0
410063,10,10198,10198,1.0
410064,10,436,436,1.0
410065,10,3505,3505,1.0
410067,10,2064,2064,1.0
410068,10,981,981,1.0
410069,10,11943,11943,1.0
410070,10,4434,4434,1.0
410071,10,1237,1237,1.0
410072,10,7669,7669,1.0
410074,10,4795,4795,1.0
410077,10,1759,1952,0.9011270491803278
410077,17,193,1952,0.09887295081967214
410078,10,2042,2945,0.6933786078098472
410078,17,903,2945,0.3066213921901528
410079,10,1564,1564,1.0
410080,10,9326,9326,1.0
410081,10,1112,1112,1.0
410082,10,2570,2570,1.0
410083,10,48,48,1.0
